index,fname,frame
0,30kDa_eluate_nuc_BaSiC,17
1,30kDa_gt_nuc_BaSiC,17
2,catalase_s1_nuc_BaSiC,13
3,catalase_s2_nuc_BaSiC,13
4,catalase_s3_nuc_BaSiC,13
5,catalase_s4_nuc_BaSiC,13
6,control_s1_nuc_BaSiC,13
7,control_s2_nuc_BaSiC,13
8,control_s3_nuc_BaSiC,13
9,control_s4_nuc_BaSiC,13
10,dfo_s1_nuc_BaSiC,13
11,dfo_s2_nuc_BaSiC,13
12,dfo_s3_nuc_BaSiC,13
13,dfo_s4_nuc_BaSiC,13
14,fer1_s1_nuc_BaSiC,13
15,fer1_s2_nuc_BaSiC,13
16,fer1_s3_nuc_BaSiC,13
17,fer1_s4_nuc_BaSiC,13
18,h2o2_flow_through_nuc_BaSiC,6
19,no_cell_erastin_nuc_BaSiC,13
20,tempo_s1_nuc_BaSiC,13
21,tempo_s2_nuc_BaSiC,13
22,tempo_s3_nuc_BaSiC,13
23,tempo_s4_nuc_BaSiC,13
24,tiron_s1_nuc_BaSiC,9
25,tiron_s2_nuc_BaSiC,9
26,tiron_s3_nuc_BaSiC,9
27,tiron_s4_nuc_BaSiC,9
28,trolox_s1_nuc_BaSiC,13
29,trolox_s2_nuc_BaSiC,13
30,trolox_s3_nuc_BaSiC,13
31,trolox_s4_nuc_BaSiC,13
