Well,Conc,Speed,Chemical
well 1,160,0,DFO
well 1,160,0,DFO
well 1,160,0,DFO
well 1,160,0,DFO
well 1,160,0,DFO
well 2,80,0.0525351652892562,DFO
well 23,80,0.0420235699300699,DFO
well 26,80,0.0542925,DFO
well 47,80,0.0495953409090909,DFO
well 50,80,0.0584053757388122,DFO
well 3,40,0.066165034965035,DFO
well 22,40,0.0678901652892562,DFO
well 27,40,0.0748217895740623,DFO
well 46,40,0.0759685314685315,DFO
well 51,40,0.0517200646167558,DFO
well 4,20,0.0892758741258741,DFO
well 21,20,0.0758009224598931,DFO
well 28,20,0.0881509090909091,DFO
well 45,20,0.0722656643356643,DFO
well 52,20,0.0751152272727273,DFO
well 5,10,0.100135155753338,DFO
well 20,10,0.0824812937062937,DFO
well 29,10,0.0712767132867133,DFO
well 44,10,0.0762757024793389,DFO
well 53,10,0.0869585123966942,DFO
well 6,5,0.0860118881118881,DFO
well 19,5,0.0742251652892562,DFO
well 30,5,0.0711216465352829,DFO
well 43,5,0.0833726478067387,DFO
well 54,5,0.0868373140495868,DFO
well 7,2.5,0.0959861093452003,DFO
well 18,2.5,0.0937652097902098,DFO
well 31,2.5,0.0916257575757576,DFO
well 42,2.5,0.0986741258741259,DFO
well 55,2.5,0.0885664393939394,DFO
well 8,1.25,0.0949455657978385,DFO
well 17,1.25,0.0909187190082645,DFO
well 32,1.25,0.0935390151515151,DFO
well 41,1.25,0.0809961856325493,DFO
well 9,0.625,0.0891087412587413,DFO
well 16,0.625,0.0932686363636364,DFO
well 33,0.625,0.0917420454545454,DFO
well 40,0.625,0.0970561570247934,DFO
well 57,0.625,0.0994566274634456,DFO
well 10,0.3125,0.105692093663912,DFO
well 15,0.3125,0.101501446280992,DFO
well 34,0.3125,0.105829609027336,DFO
well 39,0.3125,0.0907538429752066,DFO
well 58,0.3125,0.0982732506887053,DFO
well 11,0.15625,0.0869044696969697,DFO
well 14,0.15625,0.0880336776859504,DFO
well 35,0.15625,0.094319771137953,DFO
well 38,0.15625,0.100025179063361,DFO
well 59,0.15625,0.100532727272727,DFO
well 12,0,0.102285984848485,DFO
well 13,0,0.0989094696969697,DFO
well 36,0,0.108235606060606,DFO
well 37,0,0.0991613636363636,DFO
well 60,0,0.102017045454545,DFO
