conc,mean_speeds,std_speeds
0,0.0810727537878788,0.00894731828767261
0.39,0.0883265932621671,0.00508638060052514
0.78,0.0876345340909091,0.00587336635496761
1.56,0.0915380340909091,0.00806366446314153
3.125,0.096965746482684,0.0066431797761195
6.25,0.102502840909091,0.00586518079692426
12.5,0.110235511363636,0.00914337706799776
25,0.130265782467532,0.00425025277987619
50,0.141514091991342,0.00427110698504748
100,0.157285999458874,0.00567449003437739
200,0.177832238636364,0.00666275042638686
250,0.187363204545455,0.00119396867359498
