conc,speeds
250,0.186958787878788
250,0.186057242424242
250,0.187531045454545
250,0.188905742424242
200,0.173442
200,0.187738848484849
200,0.175596757575757
200,0.174551348484848
100,0.154234606060606
100,0.153761454545455
100,0.155414287878788
100,0.165733649350649
50,0.143643045454545
50,0.145637954545455
50,0.140999151515152
50,0.135776216450216
25,0.13155438961039
25,0.135602666666667
25,0.127978350649351
25,0.125927722943723
12.5,0.102370166666667
12.5,0.103581818181818
12.5,0.11306403030303
12.5,0.12192603030303
6.25,0.101804303030303
6.25,0.0946750606060606
6.25,0.108361287878788
6.25,0.105170712121212
3.125,0.103521075757576
3.125,0.098607104978355
3.125,0.087712974025974
3.125,0.0980218311688311
1.56,0.0899275606060606
1.56,0.0986201212121212
1.56,0.0808225909090909
1.56,0.0967818636363637
0.78,0.0857491212121212
0.78,0.0801544242424242
0.78,0.0925682575757576
0.78,0.0920663333333333
0.39,0.0917301186868687
0.39,0.0842193712121212
0.39,0.0837330927456382
0.39,0.0936237904040404
0.195,0.081871196969697
0.195,0.070474
0.195,0.0922645454545455
0.195,0.0796812727272727
