well,ch,signal,imgname,pxSize
8,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s8c1_ORG.tif,1.26
8,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s8c3_ORG.tif,1.26
9,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s9c1_ORG.tif,1.26
9,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s9c3_ORG.tif,1.26
10,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s10c1_ORG.tif,1.26
10,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s10c3_ORG.tif,1.26
16,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s16c1_ORG.tif,1.26
16,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s16c3_ORG.tif,1.26
17,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s17c1_ORG.tif,1.26
17,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s17c3_ORG.tif,1.26
18,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s18c1_ORG.tif,1.26
18,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s18c3_ORG.tif,1.26
21,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s21c1_ORG.tif,1.26
21,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s21c3_ORG.tif,1.26
24,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s24c1_ORG.tif,1.26
24,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s24c3_ORG.tif,1.26
25,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s25c1_ORG.tif,1.26
25,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s25c3_ORG.tif,1.26
28,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s28c1_ORG.tif,1.26
28,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s28c3_ORG.tif,1.26
31,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s31c1_ORG.tif,1.26
31,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s31c3_ORG.tif,1.26
32,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s32c1_ORG.tif,1.26
32,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s32c3_ORG.tif,1.26
33,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s33c1_ORG.tif,1.26
33,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s33c3_ORG.tif,1.26
37,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s37c1_ORG.tif,1.26
37,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s37c3_ORG.tif,1.26
38,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s38c1_ORG.tif,1.26
38,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s38c3_ORG.tif,1.26
40,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s40c1_ORG.tif,1.26
40,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s40c3_ORG.tif,1.26
41,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s41c1_ORG.tif,1.26
41,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s41c3_ORG.tif,1.26
45,1,ros,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s45c1_ORG.tif,1.26
45,3,cy5,D:\ftw_paper_figures_v2\fig5_erastin_titration\raw\s45c3_ORG.tif,1.26
